Before the meeting , Mary wrote down the following lists of words . One was : window , door , roof . And the other : sparrow , heron , eagle .
Before the meeting , Mary wrote down the following lists of words . One was : physics , psychology , biology , zoology , botany , astronomy , mathematics . And the other : robin , sparrow , heron , eagle , crow , hawk , parrot .
Before the meeting , Mary wrote down the following lists of words . One was : piano , drum , trumpet , violin , clarinet , flute , guitar . And the other : badminton , football , baseball , basketball , tennis , swimming , soccer .
Before the meeting , Mary wrote down the following lists of words . One was : oboe , piano , drum , trumpet , violin , clarinet , flute . And the other : ear , hand , toe , leg , arms , head , eye .
Before the meeting , Mary wrote down the following lists of words . One was : trombone , oboe , piano , drum , trumpet , violin , clarinet . And the other : cow , lion , tiger , elephant , pig , bear , mouse .
Before the meeting , Mary wrote down the following lists of words . One was : saxophone , trombone , oboe , piano , drum , trumpet , violin . And the other : beetle , wasp , moth , flea , butterfly , fly , ant .
Before the meeting , Mary wrote down the following lists of words . One was : guitar , saxophone , trombone , oboe , piano , drum , trumpet . And the other : beetle , wasp , moth , flea , butterfly , fly , ant .
Before the meeting , Mary wrote down the following lists of words . One was : flute , guitar , saxophone , trombone , oboe , piano , drum . And the other : soccer , golf , hockey , lacrosse , badminton , football , baseball .
Before the meeting , Mary wrote down the following lists of words . One was : clarinet , flute , guitar , saxophone , trombone , oboe , piano . And the other : sulphur , helium , chlorine , calcium , potassium , oxygen , hydrogen .
Before the meeting , Mary wrote down the following lists of words . One was : violin , clarinet , flute , guitar , saxophone , trombone , oboe . And the other : cat , horse , cow , lion , tiger , elephant , pig .
Before the meeting , Mary wrote down the following lists of words . One was : trumpet , violin , clarinet , flute , guitar , saxophone , trombone . And the other : canvas , felt , cotton , wool , silk , rayon , linen .
Before the meeting , Mary wrote down the following lists of words . One was : drum , trumpet , violin , clarinet , flute , guitar , saxophone . And the other : trout , shark , herring , perch , salmon , tuna , goldfish .
Before the meeting , Mary wrote down the following lists of words . One was : knife , spoon , fork , pan , pot , stove , bowl . And the other : blonde , blue , red , green , yellow , black , purple .
Before the meeting , Mary wrote down the following lists of words . One was : dish , knife , spoon , fork , pan , pot , stove . And the other : hail , storm , wind , cyclone , clouds , sunshine , hurricane .
Before the meeting , Mary wrote down the following lists of words . One was : cup , dish , knife , spoon , fork , pan , pot . And the other : tiger , elephant , pig , bear , mouse , log , cat .
Before the meeting , Mary wrote down the following lists of words . One was : mixer , cup , dish , knife , spoon , fork , pan . And the other : cotton , wool , silk , rayon , linen , satin , velvet .
Before the meeting , Mary wrote down the following lists of words . One was : bowl , mixer , cup , dish , knife , spoon , fork . And the other : assault , arson , kidnapping , larceny , adultery , battery , murder .
Before the meeting , Mary wrote down the following lists of words . One was : stove , bowl , mixer , cup , dish , knife , spoon . And the other : golf , hockey , lacrosse , badminton , football , baseball , basketball .
Before the meeting , Mary wrote down the following lists of words . One was : pot , stove , bowl , mixer , cup , dish , knife . And the other : nitrogen , carbon , sodium , sulphur , helium , chlorine , calcium .
Before the meeting , Mary wrote down the following lists of words . One was : pan , pot , stove , bowl , mixer , cup , dish . And the other : maple , pine , elm , birch , spruce , redwood , walnut .
Before the meeting , Mary wrote down the following lists of words . One was : fork , pan , pot , stove , bowl , mixer , cup . And the other : arms , head , eye , foot , nose , finger , ear .
Before the meeting , Mary wrote down the following lists of words . One was : spoon , fork , pan , pot , stove , bowl , mixer . And the other : butterfly , fly , ant , bee , mosquito , spider , beetle .
Before the meeting , Mary wrote down the following lists of words . One was : trout , shark , herring , perch , salmon , tuna , goldfish . And the other : destroyer , battleship , cruiser , submarine , yacht , canoe , freighter .
Before the meeting , Mary wrote down the following lists of words . One was : pike , trout , shark , herring , perch , salmon , tuna . And the other : lake , canyon , tundra , ocean , cave , mountain , hill .
Before the meeting , Mary wrote down the following lists of words . One was : carp , pike , trout , shark , herring , perch , salmon . And the other : hurricane , tornado , rain , snow , hail , storm , wind .
Before the meeting , Mary wrote down the following lists of words . One was : cod , carp , pike , trout , shark , herring , perch . And the other : spider , beetle , wasp , moth , flea , butterfly , fly .
Before the meeting , Mary wrote down the following lists of words . One was : goldfish , cod , carp , pike , trout , shark , herring . And the other : purple , white , pink , brown , blonde , blue , red .
Before the meeting , Mary wrote down the following lists of words . One was : tuna , goldfish , cod , carp , pike , trout , shark . And the other : kidnapping , larceny , adultery , battery , murder , rape , robbery .
Before the meeting , Mary wrote down the following lists of words . One was : salmon , tuna , goldfish , cod , carp , pike , trout . And the other : measles , tuberculosis , polio , malaria , leukemia , pneumonia , smallpox .
Before the meeting , Mary wrote down the following lists of words . One was : perch , salmon , tuna , goldfish , cod , carp , pike . And the other : fir , hickory , oak , maple , pine , elm , birch .
Before the meeting , Mary wrote down the following lists of words . One was : herring , perch , salmon , tuna , goldfish , cod , carp . And the other : malaria , leukemia , pneumonia , smallpox , influenza , encephalitis , cancer .
Before the meeting , Mary wrote down the following lists of words . One was : shark , herring , perch , salmon , tuna , goldfish , cod . And the other : socks , pants , shoes , blouse , skirt , coat , dress .
Before the meeting , Mary wrote down the following lists of words . One was : football , baseball , basketball , tennis , swimming , soccer , golf . And the other : wasp , moth , flea , butterfly , fly , ant , bee .
Before the meeting , Mary wrote down the following lists of words . One was : badminton , football , baseball , basketball , tennis , swimming , soccer . And the other : chisel , ruler , wrench , drill , screws , hammer , saw .
Before the meeting , Mary wrote down the following lists of words . One was : lacrosse , badminton , football , baseball , basketball , tennis , swimming . And the other : head , eye , foot , nose , finger , ear , hand .
Before the meeting , Mary wrote down the following lists of words . One was : hockey , lacrosse , badminton , football , baseball , basketball , tennis . And the other : hand , toe , leg , arms , head , eye , foot .
Before the meeting , Mary wrote down the following lists of words . One was : golf , hockey , lacrosse , badminton , football , baseball , basketball . And the other : helium , chlorine , calcium , potassium , oxygen , hydrogen , nitrogen .
Before the meeting , Mary wrote down the following lists of words . One was : soccer , golf , hockey , lacrosse , badminton , football , baseball . And the other : roof , wall , floor , ceiling , room , basement , hearth .
Before the meeting , Mary wrote down the following lists of words . One was : swimming , soccer , golf , hockey , lacrosse , badminton , football . And the other : murder , rape , robbery , theft , assault , arson , kidnapping .
Before the meeting , Mary wrote down the following lists of words . One was : tennis , swimming , soccer , golf , hockey , lacrosse , badminton . And the other : clouds , sunshine , hurricane , tornado , rain , snow , hail .
Before the meeting , Mary wrote down the following lists of words . One was : basketball , tennis , swimming , soccer , golf , hockey , lacrosse . And the other : submarine , yacht , canoe , freighter , tugboat , steamship , sailboat .
Before the meeting , Mary wrote down the following lists of words . One was : baseball , basketball , tennis , swimming , soccer , golf , hockey . And the other : river , rock , lake , canyon , tundra , ocean , cave .
Before the meeting , Mary wrote down the following lists of words . One was : doctor , lawyer , teacher , dentist , engineer , professor , carpenter . And the other : coat , dress , hat , sweater , shirt , socks , pants .
Before the meeting , Mary wrote down the following lists of words . One was : psychologist , doctor , lawyer , teacher , dentist , engineer , professor . And the other : saw , nails , level , plane , chisel , ruler , wrench .
Before the meeting , Mary wrote down the following lists of words . One was : nurse , psychologist , doctor , lawyer , teacher , dentist , engineer . And the other : saxophone , trombone , oboe , piano , drum , trumpet , violin .
Before the meeting , Mary wrote down the following lists of words . One was : salesman , nurse , psychologist , doctor , lawyer , teacher , dentist . And the other : sailboat , destroyer , battleship , cruiser , submarine , yacht , canoe .
Before the meeting , Mary wrote down the following lists of words . One was : carpenter , salesman , nurse , psychologist , doctor , lawyer , teacher . And the other : room , basement , hearth , hall , window , door , roof .
Before the meeting , Mary wrote down the following lists of words . One was : professor , carpenter , salesman , nurse , psychologist , doctor , lawyer . And the other : log , cat , horse , cow , lion , tiger , elephant .
Before the meeting , Mary wrote down the following lists of words . One was : engineer , professor , carpenter , salesman , nurse , psychologist , doctor . And the other : moth , flea , butterfly , fly , ant , bee , mosquito .
Before the meeting , Mary wrote down the following lists of words . One was : dentist , engineer , professor , carpenter , salesman , nurse , psychologist . And the other : bowl , mixer , cup , dish , knife , spoon , fork .
Before the meeting , Mary wrote down the following lists of words . One was : teacher , dentist , engineer , professor , carpenter , salesman , nurse . And the other : biology , zoology , botany , astronomy , mathematics , geology , microbiology .
Before the meeting , Mary wrote down the following lists of words . One was : lawyer , teacher , dentist , engineer , professor , carpenter , salesman . And the other : hydrogen , nitrogen , carbon , sodium , sulphur , helium , chlorine .
Before the meeting , Mary wrote down the following lists of words . One was : oak , maple , pine , elm , birch , spruce , redwood . And the other : freighter , tugboat , steamship , sailboat , destroyer , battleship , cruiser .
Before the meeting , Mary wrote down the following lists of words . One was : hickory , oak , maple , pine , elm , birch , spruce . And the other : carpenter , salesman , nurse , psychologist , doctor , lawyer , teacher .
Before the meeting , Mary wrote down the following lists of words . One was : fir , hickory , oak , maple , pine , elm , birch . And the other : storm , wind , cyclone , clouds , sunshine , hurricane , tornado .
Before the meeting , Mary wrote down the following lists of words . One was : walnut , fir , hickory , oak , maple , pine , elm . And the other : mosquito , spider , beetle , wasp , moth , flea , butterfly .
Before the meeting , Mary wrote down the following lists of words . One was : redwood , walnut , fir , hickory , oak , maple , pine . And the other : black , purple , white , pink , brown , blonde , blue .
Before the meeting , Mary wrote down the following lists of words . One was : spruce , redwood , walnut , fir , hickory , oak , maple . And the other : leukemia , pneumonia , smallpox , influenza , encephalitis , cancer , measles .
Before the meeting , Mary wrote down the following lists of words . One was : birch , spruce , redwood , walnut , fir , hickory , oak . And the other : stove , bowl , mixer , cup , dish , knife , spoon .
Before the meeting , Mary wrote down the following lists of words . One was : elm , birch , spruce , redwood , walnut , fir , hickory . And the other : storm , wind , cyclone , clouds , sunshine , hurricane , tornado .
Before the meeting , Mary wrote down the following lists of words . One was : pine , elm , birch , spruce , redwood , walnut , fir . And the other : crow , hawk , parrot , pigeon , woodpecker , vulture , robin .
Before the meeting , Mary wrote down the following lists of words . One was : maple , pine , elm , birch , spruce , redwood , walnut . And the other : hawk , parrot , pigeon , woodpecker , vulture , robin , sparrow .
Before the meeting , Mary wrote down the following lists of words . One was : shirt , socks , pants , shoes , blouse , skirt , coat . And the other : pneumonia , smallpox , influenza , encephalitis , cancer , measles , tuberculosis .
Before the meeting , Mary wrote down the following lists of words . One was : sweater , shirt , socks , pants , shoes , blouse , skirt . And the other : chlorine , calcium , potassium , oxygen , hydrogen , nitrogen , carbon .
Before the meeting , Mary wrote down the following lists of words . One was : hat , sweater , shirt , socks , pants , shoes , blouse . And the other : valley , river , rock , lake , canyon , tundra , ocean .
Before the meeting , Mary wrote down the following lists of words . One was : dress , hat , sweater , shirt , socks , pants , shoes . And the other : horse , cow , lion , tiger , elephant , pig , bear .
Before the meeting , Mary wrote down the following lists of words . One was : coat , dress , hat , sweater , shirt , socks , pants . And the other : ocean , cave , mountain , hill , valley , river , rock .
Before the meeting , Mary wrote down the following lists of words . One was : skirt , coat , dress , hat , sweater , shirt , socks . And the other : rayon , linen , satin , velvet , denim , canvas , felt .
Before the meeting , Mary wrote down the following lists of words . One was : blouse , skirt , coat , dress , hat , sweater , shirt . And the other : dish , knife , spoon , fork , pan , pot , stove .
Before the meeting , Mary wrote down the following lists of words . One was : shoes , blouse , skirt , coat , dress , hat , sweater . And the other : tornado , rain , snow , hail , storm , wind , cyclone .
Before the meeting , Mary wrote down the following lists of words . One was : pants , shoes , blouse , skirt , coat , dress , hat . And the other : lemon , apricot , apple , pear , banana , peach , grape .
Before the meeting , Mary wrote down the following lists of words . One was : socks , pants , shoes , blouse , skirt , coat , dress . And the other : birch , spruce , redwood , walnut , fir , hickory , oak .
Before the meeting , Mary wrote down the following lists of words . One was : cancer , measles , tuberculosis , polio , malaria , leukemia , pneumonia . And the other : hearth , hall , window , door , roof , wall , floor .
Before the meeting , Mary wrote down the following lists of words . One was : encephalitis , cancer , measles , tuberculosis , polio , malaria , leukemia . And the other : geology , microbiology , chemistry , physics , psychology , biology , zoology .
Before the meeting , Mary wrote down the following lists of words . One was : influenza , encephalitis , cancer , measles , tuberculosis , polio , malaria . And the other : bee , mosquito , spider , beetle , wasp , moth , flea .
Before the meeting , Mary wrote down the following lists of words . One was : smallpox , influenza , encephalitis , cancer , measles , tuberculosis , polio . And the other : robbery , theft , assault , arson , kidnapping , larceny , adultery .
Before the meeting , Mary wrote down the following lists of words . One was : pneumonia , smallpox , influenza , encephalitis , cancer , measles , tuberculosis . And the other : mathematics , geology , microbiology , chemistry , physics , psychology , biology .
Before the meeting , Mary wrote down the following lists of words . One was : leukemia , pneumonia , smallpox , influenza , encephalitis , cancer , measles . And the other : battery , murder , rape , robbery , theft , assault , arson .
Before the meeting , Mary wrote down the following lists of words . One was : malaria , leukemia , pneumonia , smallpox , influenza , encephalitis , cancer . And the other : grapefruit , lemon , apricot , apple , pear , banana , peach .
Before the meeting , Mary wrote down the following lists of words . One was : polio , malaria , leukemia , pneumonia , smallpox , influenza , encephalitis . And the other : sodium , sulphur , helium , chlorine , calcium , potassium , oxygen .
Before the meeting , Mary wrote down the following lists of words . One was : tuberculosis , polio , malaria , leukemia , pneumonia , smallpox , influenza . And the other : rape , robbery , theft , assault , arson , kidnapping , larceny .
Before the meeting , Mary wrote down the following lists of words . One was : measles , tuberculosis , polio , malaria , leukemia , pneumonia , smallpox . And the other : silk , rayon , linen , satin , velvet , denim , canvas .
Before the meeting , Mary wrote down the following lists of words . One was : mountain , hill , valley , river , rock , lake , canyon . And the other : encephalitis , cancer , measles , tuberculosis , polio , malaria , leukemia .
Before the meeting , Mary wrote down the following lists of words . One was : cave , mountain , hill , valley , river , rock , lake . And the other : hall , window , door , roof , wall , floor , ceiling .
Before the meeting , Mary wrote down the following lists of words . One was : ocean , cave , mountain , hill , valley , river , rock . And the other : apple , pear , banana , peach , grape , cherry , plum .
Before the meeting , Mary wrote down the following lists of words . One was : tundra , ocean , cave , mountain , hill , valley , river . And the other : salmon , tuna , goldfish , cod , carp , pike , trout .
Before the meeting , Mary wrote down the following lists of words . One was : canyon , tundra , ocean , cave , mountain , hill , valley . And the other : eye , foot , nose , finger , ear , hand , toe .
Before the meeting , Mary wrote down the following lists of words . One was : lake , canyon , tundra , ocean , cave , mountain , hill . And the other : redwood , walnut , fir , hickory , oak , maple , pine .
Before the meeting , Mary wrote down the following lists of words . One was : rock , lake , canyon , tundra , ocean , cave , mountain . And the other : rain , snow , hail , storm , wind , cyclone , clouds .
Before the meeting , Mary wrote down the following lists of words . One was : river , rock , lake , canyon , tundra , ocean , cave . And the other : polio , malaria , leukemia , pneumonia , smallpox , influenza , encephalitis .
Before the meeting , Mary wrote down the following lists of words . One was : valley , river , rock , lake , canyon , tundra , ocean . And the other : pink , brown , blonde , blue , red , green , yellow .
Before the meeting , Mary wrote down the following lists of words . One was : hill , valley , river , rock , lake , canyon , tundra . And the other : white , pink , brown , blonde , blue , red , green .
Before the meeting , Mary wrote down the following lists of words . One was : murder , rape , robbery , theft , assault , arson , kidnapping . And the other : wool , silk , rayon , linen , satin , velvet , denim .
Before the meeting , Mary wrote down the following lists of words . One was : battery , murder , rape , robbery , theft , assault , arson . And the other : snow , hail , storm , wind , cyclone , clouds , sunshine .
Before the meeting , Mary wrote down the following lists of words . One was : adultery , battery , murder , rape , robbery , theft , assault . And the other : teacher , dentist , engineer , professor , carpenter , salesman , nurse .
Before the meeting , Mary wrote down the following lists of words . One was : larceny , adultery , battery , murder , rape , robbery , theft . And the other : mountain , hill , valley , river , rock , lake , canyon .
Before the meeting , Mary wrote down the following lists of words . One was : kidnapping , larceny , adultery , battery , murder , rape , robbery . And the other : carbon , sodium , sulphur , helium , chlorine , calcium , potassium .
Before the meeting , Mary wrote down the following lists of words . One was : arson , kidnapping , larceny , adultery , battery , murder , rape . And the other : ruler , wrench , drill , screws , hammer , saw , nails .
Before the meeting , Mary wrote down the following lists of words . One was : assault , arson , kidnapping , larceny , adultery , battery , murder . And the other : sunshine , hurricane , tornado , rain , snow , hail , storm .
Before the meeting , Mary wrote down the following lists of words . One was : theft , assault , arson , kidnapping , larceny , adultery , battery . And the other : rock , lake , canyon , tundra , ocean , cave , mountain .
Before the meeting , Mary wrote down the following lists of words . One was : robbery , theft , assault , arson , kidnapping , larceny , adultery . And the other : nose , finger , ear , hand , toe , leg , arms .
Before the meeting , Mary wrote down the following lists of words . One was : rape , robbery , theft , assault , arson , kidnapping , larceny . And the other : perch , salmon , tuna , goldfish , cod , carp , pike .
Before the meeting , Mary wrote down the following lists of words . One was : log , cat , horse , cow , lion , tiger , elephant . And the other : flea , butterfly , fly , ant , bee , mosquito , spider .
Before the meeting , Mary wrote down the following lists of words . One was : mouse , log , cat , horse , cow , lion , tiger . And the other : battleship , cruiser , submarine , yacht , canoe , freighter , tugboat .
Before the meeting , Mary wrote down the following lists of words . One was : bear , mouse , log , cat , horse , cow , lion . And the other : trombone , oboe , piano , drum , trumpet , violin , clarinet .
Before the meeting , Mary wrote down the following lists of words . One was : pig , bear , mouse , log , cat , horse , cow . And the other : baseball , basketball , tennis , swimming , soccer , golf , hockey .
Before the meeting , Mary wrote down the following lists of words . One was : elephant , pig , bear , mouse , log , cat , horse . And the other : drill , screws , hammer , saw , nails , level , plane .
Before the meeting , Mary wrote down the following lists of words . One was : tiger , elephant , pig , bear , mouse , log , cat . And the other : blouse , skirt , coat , dress , hat , sweater , shirt .
Before the meeting , Mary wrote down the following lists of words . One was : lion , tiger , elephant , pig , bear , mouse , log . And the other : brown , blonde , blue , red , green , yellow , black .
Before the meeting , Mary wrote down the following lists of words . One was : cow , lion , tiger , elephant , pig , bear , mouse . And the other : piano , drum , trumpet , violin , clarinet , flute , guitar .
Before the meeting , Mary wrote down the following lists of words . One was : horse , cow , lion , tiger , elephant , pig , bear . And the other : calcium , potassium , oxygen , hydrogen , nitrogen , carbon , sodium .
Before the meeting , Mary wrote down the following lists of words . One was : cat , horse , cow , lion , tiger , elephant , pig . And the other : botany , astronomy , mathematics , geology , microbiology , chemistry , physics .
Before the meeting , Mary wrote down the following lists of words . One was : fly , ant , bee , mosquito , spider , beetle , wasp . And the other : walnut , fir , hickory , oak , maple , pine , elm .
Before the meeting , Mary wrote down the following lists of words . One was : butterfly , fly , ant , bee , mosquito , spider , beetle . And the other : nails , level , plane , chisel , ruler , wrench , drill .
Before the meeting , Mary wrote down the following lists of words . One was : flea , butterfly , fly , ant , bee , mosquito , spider . And the other : tundra , ocean , cave , mountain , hill , valley , river .
Before the meeting , Mary wrote down the following lists of words . One was : moth , flea , butterfly , fly , ant , bee , mosquito . And the other : lion , tiger , elephant , pig , bear , mouse , log .
Before the meeting , Mary wrote down the following lists of words . One was : wasp , moth , flea , butterfly , fly , ant , bee . And the other : football , baseball , basketball , tennis , swimming , soccer , golf .
Before the meeting , Mary wrote down the following lists of words . One was : beetle , wasp , moth , flea , butterfly , fly , ant . And the other : peach , grape , cherry , plum , grapefruit , lemon , apricot .
Before the meeting , Mary wrote down the following lists of words . One was : spider , beetle , wasp , moth , flea , butterfly , fly . And the other : sweater , shirt , socks , pants , shoes , blouse , skirt .
Before the meeting , Mary wrote down the following lists of words . One was : mosquito , spider , beetle , wasp , moth , flea , butterfly . And the other : drum , trumpet , violin , clarinet , flute , guitar , saxophone .
Before the meeting , Mary wrote down the following lists of words . One was : bee , mosquito , spider , beetle , wasp , moth , flea . And the other : eagle , crow , hawk , parrot , pigeon , woodpecker , vulture .
Before the meeting , Mary wrote down the following lists of words . One was : ant , bee , mosquito , spider , beetle , wasp , moth . And the other : cherry , plum , grapefruit , lemon , apricot , apple , pear .
Before the meeting , Mary wrote down the following lists of words . One was : blue , red , green , yellow , black , purple , white . And the other : guitar , saxophone , trombone , oboe , piano , drum , trumpet .
Before the meeting , Mary wrote down the following lists of words . One was : blonde , blue , red , green , yellow , black , purple . And the other : astronomy , mathematics , geology , microbiology , chemistry , physics , psychology .
Before the meeting , Mary wrote down the following lists of words . One was : brown , blonde , blue , red , green , yellow , black . And the other : lacrosse , badminton , football , baseball , basketball , tennis , swimming .
Before the meeting , Mary wrote down the following lists of words . One was : pink , brown , blonde , blue , red , green , yellow . And the other : canoe , freighter , tugboat , steamship , sailboat , destroyer , battleship .
Before the meeting , Mary wrote down the following lists of words . One was : white , pink , brown , blonde , blue , red , green . And the other : canoe , freighter , tugboat , steamship , sailboat , destroyer , battleship .
Before the meeting , Mary wrote down the following lists of words . One was : purple , white , pink , brown , blonde , blue , red . And the other : shirt , socks , pants , shoes , blouse , skirt , coat .
Before the meeting , Mary wrote down the following lists of words . One was : black , purple , white , pink , brown , blonde , blue . And the other : tugboat , steamship , sailboat , destroyer , battleship , cruiser , submarine .
Before the meeting , Mary wrote down the following lists of words . One was : yellow , black , purple , white , pink , brown , blonde . And the other : professor , carpenter , salesman , nurse , psychologist , doctor , lawyer .
Before the meeting , Mary wrote down the following lists of words . One was : green , yellow , black , purple , white , pink , brown . And the other : guitar , saxophone , trombone , oboe , piano , drum , trumpet .
Before the meeting , Mary wrote down the following lists of words . One was : red , green , yellow , black , purple , white , pink . And the other : shirt , socks , pants , shoes , blouse , skirt , coat .
Before the meeting , Mary wrote down the following lists of words . One was : cotton , wool , silk , rayon , linen , satin , velvet . And the other : spruce , redwood , walnut , fir , hickory , oak , maple .
Before the meeting , Mary wrote down the following lists of words . One was : felt , cotton , wool , silk , rayon , linen , satin . And the other : yellow , black , purple , white , pink , brown , blonde .
Before the meeting , Mary wrote down the following lists of words . One was : canvas , felt , cotton , wool , silk , rayon , linen . And the other : yacht , canoe , freighter , tugboat , steamship , sailboat , destroyer .
Before the meeting , Mary wrote down the following lists of words . One was : denim , canvas , felt , cotton , wool , silk , rayon . And the other : arson , kidnapping , larceny , adultery , battery , murder , rape .
Before the meeting , Mary wrote down the following lists of words . One was : velvet , denim , canvas , felt , cotton , wool , silk . And the other : arson , kidnapping , larceny , adultery , battery , murder , rape .
Before the meeting , Mary wrote down the following lists of words . One was : satin , velvet , denim , canvas , felt , cotton , wool . And the other : pigeon , woodpecker , vulture , robin , sparrow , heron , eagle .
Before the meeting , Mary wrote down the following lists of words . One was : linen , satin , velvet , denim , canvas , felt , cotton . And the other : pig , bear , mouse , log , cat , horse , cow .
Before the meeting , Mary wrote down the following lists of words . One was : rayon , linen , satin , velvet , denim , canvas , felt . And the other : arson , kidnapping , larceny , adultery , battery , murder , rape .
Before the meeting , Mary wrote down the following lists of words . One was : silk , rayon , linen , satin , velvet , denim , canvas . And the other : pig , bear , mouse , log , cat , horse , cow .
Before the meeting , Mary wrote down the following lists of words . One was : wool , silk , rayon , linen , satin , velvet , denim . And the other : zoology , botany , astronomy , mathematics , geology , microbiology , chemistry .
Before the meeting , Mary wrote down the following lists of words . One was : window , door , roof , wall , floor , ceiling , room , basement , hearth , hall . And the other : sparrow , heron , eagle , crow , hawk , parrot , pigeon , woodpecker , vulture , robin .
Before the meeting , Mary wrote down the following lists of words . One was : hall , window , door , roof , wall , floor , ceiling , room , basement , hearth . And the other : lawyer , teacher , dentist , engineer , professor , carpenter , salesman , nurse , psychologist , doctor .
Before the meeting , Mary wrote down the following lists of words . One was : hearth , hall , window , door , roof , wall , floor , ceiling , room , basement . And the other : canyon , tundra , ocean , cave , mountain , hill , valley , river , rock , lake .
Before the meeting , Mary wrote down the following lists of words . One was : basement , hearth , hall , window , door , roof , wall , floor , ceiling , room . And the other : hill , valley , river , rock , lake , canyon , tundra , ocean , cave , mountain .
Before the meeting , Mary wrote down the following lists of words . One was : room , basement , hearth , hall , window , door , roof , wall , floor , ceiling . And the other : engineer , professor , carpenter , salesman , nurse , psychologist , doctor , lawyer , teacher , dentist .
Before the meeting , Mary wrote down the following lists of words . One was : ceiling , room , basement , hearth , hall , window , door , roof , wall , floor . And the other : pike , trout , shark , herring , perch , salmon , tuna , goldfish , cod , carp .
Before the meeting , Mary wrote down the following lists of words . One was : floor , ceiling , room , basement , hearth , hall , window , door , roof , wall . And the other : plum , grapefruit , lemon , apricot , apple , pear , banana , peach , grape , cherry .
Before the meeting , Mary wrote down the following lists of words . One was : wall , floor , ceiling , room , basement , hearth , hall , window , door , roof . And the other : sparrow , heron , eagle , crow , hawk , parrot , pigeon , woodpecker , vulture , robin .
Before the meeting , Mary wrote down the following lists of words . One was : roof , wall , floor , ceiling , room , basement , hearth , hall , window , door . And the other : toe , leg , arms , head , eye , foot , nose , finger , ear , hand .
Before the meeting , Mary wrote down the following lists of words . One was : door , roof , wall , floor , ceiling , room , basement , hearth , hall , window . And the other : basketball , tennis , swimming , soccer , golf , hockey , lacrosse , badminton , football , baseball .
Before the meeting , Mary wrote down the following lists of words . One was : leg , arms , head , eye , foot , nose , finger , ear , hand , toe . And the other : swimming , soccer , golf , hockey , lacrosse , badminton , football , baseball , basketball , tennis .
Before the meeting , Mary wrote down the following lists of words . One was : toe , leg , arms , head , eye , foot , nose , finger , ear , hand . And the other : potassium , oxygen , hydrogen , nitrogen , carbon , sodium , sulphur , helium , chlorine , calcium .
Before the meeting , Mary wrote down the following lists of words . One was : hand , toe , leg , arms , head , eye , foot , nose , finger , ear . And the other : pants , shoes , blouse , skirt , coat , dress , hat , sweater , shirt , socks .
Before the meeting , Mary wrote down the following lists of words . One was : ear , hand , toe , leg , arms , head , eye , foot , nose , finger . And the other : herring , perch , salmon , tuna , goldfish , cod , carp , pike , trout , shark .
Before the meeting , Mary wrote down the following lists of words . One was : finger , ear , hand , toe , leg , arms , head , eye , foot , nose . And the other : mixer , cup , dish , knife , spoon , fork , pan , pot , stove , bowl .
Before the meeting , Mary wrote down the following lists of words . One was : nose , finger , ear , hand , toe , leg , arms , head , eye , foot . And the other : nurse , psychologist , doctor , lawyer , teacher , dentist , engineer , professor , carpenter , salesman .
Before the meeting , Mary wrote down the following lists of words . One was : foot , nose , finger , ear , hand , toe , leg , arms , head , eye . And the other : linen , satin , velvet , denim , canvas , felt , cotton , wool , silk , rayon .
Before the meeting , Mary wrote down the following lists of words . One was : eye , foot , nose , finger , ear , hand , toe , leg , arms , head . And the other : tennis , swimming , soccer , golf , hockey , lacrosse , badminton , football , baseball , basketball .
Before the meeting , Mary wrote down the following lists of words . One was : head , eye , foot , nose , finger , ear , hand , toe , leg , arms . And the other : red , green , yellow , black , purple , white , pink , brown , blonde , blue .
Before the meeting , Mary wrote down the following lists of words . One was : arms , head , eye , foot , nose , finger , ear , hand , toe , leg . And the other : steamship , sailboat , destroyer , battleship , cruiser , submarine , yacht , canoe , freighter , tugboat .
Before the meeting , Mary wrote down the following lists of words . One was : sailboat , destroyer , battleship , cruiser , submarine , yacht , canoe , freighter , tugboat , steamship . And the other : oboe , piano , drum , trumpet , violin , clarinet , flute , guitar , saxophone , trombone .
Before the meeting , Mary wrote down the following lists of words . One was : steamship , sailboat , destroyer , battleship , cruiser , submarine , yacht , canoe , freighter , tugboat . And the other : influenza , encephalitis , cancer , measles , tuberculosis , polio , malaria , leukemia , pneumonia , smallpox .
Before the meeting , Mary wrote down the following lists of words . One was : tugboat , steamship , sailboat , destroyer , battleship , cruiser , submarine , yacht , canoe , freighter . And the other : flute , guitar , saxophone , trombone , oboe , piano , drum , trumpet , violin , clarinet .
Before the meeting , Mary wrote down the following lists of words . One was : freighter , tugboat , steamship , sailboat , destroyer , battleship , cruiser , submarine , yacht , canoe . And the other : bear , mouse , log , cat , horse , cow , lion , tiger , elephant , pig .
Before the meeting , Mary wrote down the following lists of words . One was : canoe , freighter , tugboat , steamship , sailboat , destroyer , battleship , cruiser , submarine , yacht . And the other : wall , floor , ceiling , room , basement , hearth , hall , window , door , roof .
Before the meeting , Mary wrote down the following lists of words . One was : yacht , canoe , freighter , tugboat , steamship , sailboat , destroyer , battleship , cruiser , submarine . And the other : plane , chisel , ruler , wrench , drill , screws , hammer , saw , nails , level .
